dataset_sample_id,image_path,source_run,source_sample_id,source_image_path,label_source,source_left_pwm,source_right_pwm,quality_score,steering,steering_delta,steering_bin,simulation_time,control_mode,target_lane,corner_radius_m,corner_curvature_1pm,lane_status,lane_error,lane_direction,decision_reason,command,left_pwm,right_pwm,expert_left_pwm,expert_right_pwm,driveability_score,safety_state,position_x,position_y,yaw,cross_track_error,heading_error,target_x,target_y
lane1_00000,images/lane_1/lane1_00000.jpg,run_20260831_015552,1,dataset\runs\run_20260831_015552\images\frame_000001.jpg,expert_command,0.3400,0.3400,0.054000,0.000000,0.000000,-0.03:+0.03,0.320,expert,1,0.8,1.25000,both_lanes,1,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,0.10182,1.40000,0.00000,0.00318,-0.00000,0.52500,1.40000
lane1_00001,images/lane_1/lane1_00001.jpg,run_20260831_015552,9,dataset\runs\run_20260831_015552\images\frame_000009.jpg,expert_command,0.3400,0.3400,0.094667,0.000000,0.000000,-0.03:+0.03,1.600,expert,1,0.8,1.25000,both_lanes,2,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,0.55444,1.40000,-0.00000,0.00556,0.00000,0.98000,1.40000
lane1_00002,images/lane_1/lane1_00002.jpg,run_20260831_015552,16,dataset\runs\run_20260831_015552\images\frame_000016.jpg,expert_command,0.3400,0.3400,0.097333,0.000000,0.000000,-0.03:+0.03,2.720,expert,1,0.8,1.25000,both_lanes,-6,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,0.95048,1.40000,0.00000,0.00548,-0.00000,1.36500,1.40000
lane1_00003,images/lane_1/lane1_00003.jpg,run_20260831_015552,22,dataset\runs\run_20260831_015552\images\frame_000022.jpg,expert_command,0.3400,0.3400,0.306500,0.000000,0.000000,-0.03:+0.03,3.680,expert,1,0.8,1.25000,left_only,-2,forward,simulator_ground_truth,expert_path_follow,0.3400,0.3400,,,,,1.28993,1.40000,0.00000,0.00507,-0.00000,1.71500,1.40000
lane1_00004,images/lane_1/lane1_00004.jpg,run_20260831_015552,35,dataset\runs\run_20260831_015552\images\frame_000035.jpg,expert_command,0.3570,0.3162,0.472833,-0.040800,0.017500,-0.09:-0.03,5.760,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.3570,0.3162,,,,,2.02440,1.40001,-0.02830,0.00560,-0.02835,2.23892,1.38785
lane1_00005,images/lane_1/lane1_00005.jpg,run_20260831_015552,51,dataset\runs\run_20260831_015552\images\frame_000051.jpg,expert_command,0.4369,0.2043,0.994838,-0.232600,0.024000,-0.30:-0.22,8.320,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4369,0.2043,,,,,2.75530,1.07603,-0.94446,0.00995,-0.16153,2.83084,0.92539
lane1_00006,images/lane_1/lane1_00006.jpg,run_20260831_015552,54,dataset\runs\run_20260831_015552\images\frame_000054.jpg,expert_command,0.4698,0.1583,1.404071,-0.311500,0.025400,-0.45:-0.30,8.800,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.4698,0.1583,,,,,2.84979,0.93925,-1.16747,0.02348,-0.21629,2.88252,0.76633
lane1_00007,images/lane_1/lane1_00007.jpg,run_20260831_015552,61,dataset\runs\run_20260831_015552\images\frame_000061.jpg,expert_command,0.3849,0.2771,1.590314,-0.107800,0.131500,-0.15:-0.09,9.920,expert,1,0.8,1.25000,right_only,50,left,simulator_ground_truth,expert_path_follow,0.3849,0.2771,,,,,2.95734,0.58409,-1.92873,0.05748,-0.07488,2.90000,0.46000
lane1_00008,images/lane_1/lane1_00008.jpg,run_20260831_015552,68,dataset\runs\run_20260831_015552\images\frame_000068.jpg,expert_command,0.2107,0.4323,1.874290,0.221600,0.138900,+0.22:+0.30,11.040,expert,1,0.8,1.25000,left_only,-50,right,simulator_ground_truth,expert_path_follow,0.2107,0.4323,,,,,2.84172,0.22741,-1.26389,0.05834,0.15387,2.90000,0.11000
lane1_00009,images/lane_1/lane1_00009.jpg,run_20260831_015552,75,dataset\runs\run_20260831_015552\images\frame_000075.jpg,expert_command,0.4573,0.1758,1.953438,-0.281500,0.098200,-0.30:-0.22,12.160,expert,1,0.8,1.25000,right_only,30,left,simulator_ground_truth,expert_path_follow,0.4573,0.1758,,,,,2.95806,-0.13105,-1.82943,0.05807,-0.19543,2.90000,-0.25000
